Philippines,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Poland,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Portugal,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Qatar,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Romania,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Russia,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Rwanda,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Saint Kitts and Nevis,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Saint Lucia,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Saint Vincent and the Grenadines,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Samoa,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
San Marino,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Sao Tome and Principe,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Saudi Arabia,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Senegal,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Serbia,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Seychelles,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Sierra Leone,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Singapore,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Slovakia,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Slovenia,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Solomon Islands,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Somalia,accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt
South Africa,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Spain,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Sri Lanka,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Sudan,accepts compulsory ICJ jurisdiction with reservations; withdrew acceptance of ICCt jurisdiction in 2008
Suriname,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Swaziland,accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt
